NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
SECFAR;SECNIDAZOL;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;LABORATORIO FARMACEUTICO ELOFAR LTDA
SINVASTATINA;SINVASTATINA;ANTILIPEMICOS;EMS S/A
DIPROGENTA;DIPROPIONATO DE BETAMETASONA, SULFATO DE GENTAMICINA;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
OXALATO DE ESCITALOPRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;ACHE LABORATORIOS FARMACEUTICOS S.A
TRULICITY;dulaglutida;ANTIDIABETICOS;ELI LILLY DO BRASIL LTDA
AGUA BORICADA NEEDS;;;FARMAX S.A.
GILMOV;mesilato de rasagilina;ANTIPARKINSONIANOS;ACHE LABORATORIOS FARMACEUTICOS S.A
TEUTOMICIN;SULFATO DE NEOMICINA, BACITRACINA ZINCICA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;LABORATORIO TEUTO BRASILEIRO S/A
XPREZA;AZACITIDINA;ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA;NATCOFARMA DO BRASIL LTDA
ARTEMIDIS 35;ACETATO DE CIPROTERONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;EMS SIGMA PHARMA LTDA
VASELINA LIQUIDA;;;FEDERAL INDUSTRIA QUIMICA E FARMACEUTICA LTDA
ORFADIN;nitisinona;OUTROS PRODUTOS PARA O TRATO ALIMENTAR E METABOLISMO;INNOVATIVE MEDICINES BRASIL SP DISTRIBUICAO DE MEDICAMENTOS LTD
POLYDRAT PE;;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
VASTAREL;DICLORIDRATO DE TRIMETAZIDINA;ANTIANGINOSOS E VASODILATADORES;LABORATORIOS SERVIER DO BRASIL LTDA
DICLORIDRATO DE BETAISTINA;DICLORIDRATO DE BETAISTINA;VASODILATADORES;ZYDUS NIKKHO FARMACEUTICA LTDA
SOROJET;;;ENVASAMENTO TECNOLOGIA DE AEROSOIS LTDA
DIFFERIN;ADAPALENO;PRODUTOS ANTI-ACNE;GALDERMA BRASIL LTDA
FUROSEMIDA;FUROSEMIDA;DIURETICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
STIMA;CLORIDRATO DE BUSPIRONA;ANSIOLITICOS SIMPLES;EUROFARMA LABORATORIOS S.A.
LABORHEX 1,0%;;;EUROFARMA LABORATORIOS S.A
LIDEXOR GOTAS;DIMESILATO DE LISDEXANFETAMINA;PSICOANALETICOS;GERMED FARMACEUTICA LTDA
VENTIA;alfa1antitripsina;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MEDICOS LTDA
BISSULFATO DE CLOPIDOGREL;BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;FUNDACAO PARA O REMEDIO POPULAR - FURP
CLORIDRATO DE TIROFIBANA MONOIDRATADO;cloridrato de tirofibana monoidratado;ANTIAGREGANTE PLAQUETARIO;ANTIBIOTICOS DO BRASIL LTDA
FITOSCAR;STRYPHNODENDRON ADSTRINGENS (MART.) COVILLE;;APSEN FARMACEUTICA S/A
GLYXAMBI;empagliflozina, linagliptina;ANTIDIABETICOS;BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.
COLUJET;TRIANCINOLONA ACETONIDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;CIMED INDUSTRIA S.A
ANDES;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;SUPERA FARMA LABORATORIOS S.A
LIMP SEPT;;;CIMED INDUSTRIA S.A
CLORIDRATO DE CLONIDINA;CLORIDRATO DE CLONIDINA;ANALGESICOS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
CLONAZEPAM (PORT. 344/98 e LISTA B1);CLONAZEPAM;ANTICONVULSIVANTES;PRATI DONADUZZI & CIA LTDA
SINUSTRAT NEBULIZADOR;;;BIOLAB SANUS FARMACEUTICA LTDA.
CICATRENE;BACITRACINA DE ZINCO, SULFATO DE NEOMICINA;CICATRIZANTES;FARMOQUIMICA S/A
CLORIDRATO DE DONEPEZILA + CLORIDRATO DE MEMANTINA;CLORIDRATO DE DONEPEZILA, CLORIDRATO DE MEMANTINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
OLEO MINERAL 100%;;;NATULAB LABORATORIO S.A
APIDRA;insulina glulisina;ANTIDIABETICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
KISUNLA;DONANEMABE;OUTROS MEDICAMENTOS ANTI-DEMENCIA;ELI LILLY DO BRASIL LTDA
LORATADINA;LORATADINA;ANTI-HISTAMINICOS SISTEMICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
TINTURA DE BENJOIN RIOQUIMICA;;;RIOQUIMICA S.A.
CALOSOFT;;;VIDORA FARMACEUTICA LTDA
IMICIL;IMIPENEM MONOIDRATADO, CILASTATINA SODICA;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
BAC-SULFITRIN;SULFAMETOXAZOL, TRIMETOPRIMA;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES;BIOLAB SANUS FARMACEUTICA LTDA
CLORIDRATO DE TRAZODONA;CLORIDRATO DE TRAZODONA;;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
DROPROPIZINA;DROPROPIZINA;ANTITUSSIGENOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
LIMONADA PURGATIVA BEZERRA;;;LABORATORIO PERNAMBUCANO LTDA.
CICLOPIROX OLAMINA;CICLOPIROX OLAMINA;ANTIMICOTICOS PARA USO TOPICO;SANOFI MEDLEY FARMACEUTICA LTDA.
VIALEBEX;ALBUMINA HUMANA;DERIVADOS DO SANGUE E SUBSTITUTOS;LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA
BENZAPEN G;BENZILPENICILINA PROCAINA;PENICILINA G E DERIVADOS (BENZILPENICILINAS);LABORATORIO TEUTO BRASILEIRO S/A
ALCOOL 70% KOP;;;KOP DO BRASIL INDUSTRIAS FARMACEUTICAS LTDA - ME
BENZOILMETRONIDAZOL + NISTATINA + CLORETO DE BENZALCONIO;BENZOILMETRONIDAZOL, NISTATINA, CLORETO DE BENZALCONIO;PRODUTOS GINECOLOGICOS TOPICOS;PRATI DONADUZZI & CIA LTDA
CLORIDRATO DE OXIBUTININA;CLORIDRATO DE OXIBUTININA;ANTIESPASMODICOS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
DASATINIBE MONOIDRATADO;DASATINIBE MONOIDRATADO;ANTINEOPLASICO;TORRENT DO BRASIL LTDA
LYRIPATI;PREGABALINA;ANTICONVULSIVANTES;LABORATORIO TEUTO BRASILEIRO S/A
CLO;CLORIDRATO DE CLOMIPRAMINA;ANTIDEPRESSIVOS;EMS SIGMA PHARMA LTDA
DROSPIRENONA + ETINILESTRADIOL;DROSPIRENONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;ACHE LABORATORIOS FARMACEUTICOS S.A
FUMARATO DE CETOTIFENO;FUMARATO DE CETOTIFENO;OUTROS MEDICAMENTOS ANTIASMATICOS;HIPOLABOR FARMACEUTICA LTDA
CLORETO DE SODIO 0,9%;CLORETO DE SODIO;ELETROLITOS SIMPLES;LABORATORIO TEUTO BRASILEIRO S/A
MESILATO DE DOXAZOSINA;MESILATO DE DOXAZOSINA;ANTI-HIPERTENSIVOS SIMPLES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
TIOCONAZOL + TINIDAZOL;TIOCONAZOL, TINIDAZOL;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;GERMED FARMACEUTICA LTDA
PROPOTIL;PROPOFOL;ANESTESICOS GERAIS INJETAVEIS;MIDFARMA PRODUTOS FARMACEUTICOS LTDA
LIPIDEM;TRIGLICERIDEOS DE CADEIA MEDIA, OLEO DE SOJA, TRIGLICERADIOS C10-18;NUTRIENTES PARENTERAIS;LABORATORIOS B. BRAUN S/A
NASOMAR ADULTO E INFANTIL;;;ENVASAMENTO TECNOLOGIA DE AEROSOIS LTDA
AUROM;BENZOATO DE RIZATRIPTANA;ANALGESICOS CONTRA ENXAQUECA;PRATI DONADUZZI & CIA LTDA
BESILATO DE LEVANLODIPINO;besilato de levanlodipino;ANTI-HIPERTENSIVOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
FUROSEMIDA;FUROSEMIDA;DIURETICOS;CIMED INDUSTRIA S.A
PLAQUINOL;SULFATO DE HIDROXICLOROQUINA;ANTIMALARICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
RISPERIDONA;risperidona;NEUROLEPTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
SNIF SC SOLUCAO NASAL ESTERIL GOTAS E SPRAY;;;EUROFARMA LABORATORIOS S.A
SOLUcaO FISIOLOGICA;;;UNITHER INDUSTRIA FARMACEUTICA LTDA.
BICALUTAMIDA;BICALUTAMIDA;ANTINEOPLASICO;ACCORD FARMACEUTICA LTDA
FENOFIBRATO;FENOFIBRATO;ANTILIPEMICOS;RANBAXY FARMACEUTICA LTDA
LUDILI ED;DIENOGESTe;PROGESTAGENOS SIMPLES;EMS S/A
IQUEGO-LAMIVUDINA;LAMIVUDINA;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);INDUSTRIA QUIMICA DO ESTADO DE GOIAS S/A - IQUEGO
NYTEB;cloridrato de nebivolol;ANTI-HIPERTENSIVOS;DIFFUCAP - CHEMOBRAS QUIMICA E FARMACEUTICA LTDA
CETOCONAZOL;CETOCONAZOL;ANTIMICOTICOS SISTEMICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
NIMESILAM;NIMESULIDA;ANTINFLAMATORIOS;EMS SIGMA PHARMA LTDA
BENCAL;;;LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
NARATRIN;CLORIDRATO DE NARATRIPTANA;ANALGESICOS CONTRA ENXAQUECA;EMS S/A
DICLORIDRATO DE BETAISTINA;DICLORIDRATO DE BETAISTINA;ANTIVERTIGINOSOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
GABAPENTINA;GABAPENTINA;ANTICONVULSIVANTES;RANBAXY FARMACEUTICA LTDA
REMICADE;INFLIXIMABE;ANTINFLAMATORIOS;JANSSEN-CILAG FARMACEUTICA LTDA
NITRENCORD;NITRENDIPINO;ANTI-HIPERTENSIVOS;ACHE LABORATORIOS FARMACEUTICOS S.A
BHENA;CLORIDRATO DE BENAZEPRIL;ANTI-HIPERTENSIVOS SIMPLES;BIOLAB SANUS FARMACEUTICA LTDA
AGUA OXIGENADA 10 VOLUMES BEM BASICO;;;FARMAX S.A.
MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
BENICAR TRIPLO;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA, BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;DAIICHI SANKYO BRASIL FARMACEUTICA LTDA
DACARBAZINA;DACARBAZINA;ANTINEOPLASICO;EUROFARMA LABORATORIOS S.A.
NEXAVAR;TOSILATO DE SORAFENIBE;ANTINEOPLASICO;BAYER S.A.
MYRAFER;FERRIPOLIMALTOSE;FERRO TRIVALENTE, PREPARACOES ORAIS;MYRALIS INDUSTRIA FARMACEUTICA LTDA
SULFATO DE MAGNESIO - SALAMARGO ADV;;;LABORATORIO TAYUYNA LTDA
ALENDIL;ALENDRONATO SODICO TRIHIDRATADO;SUPRESSORES DA REABSORCAO OSSEA;FARMOQUIMICA S/A
DORSPAN COMPOSTO;BUTILBROMETO DE ESCOPOLAMINA, dipirona monoidratada;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC MEDICAMENTOSAS;EMS S/A
BELFACTRIM;SULFAMETOXAZOL, TRIMETOPRIMA;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;BELFAR LTDA
HEMOCORT;;;CIFARMA CIENTIFICA FARMACEUTICA LTDA
CITALOPRAM;BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
CLORIDRATO DE TRAMADOL (PORT. 344/98 - LISTA A2);CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;HIPOLABOR FARMACEUTICA LTDA
COLTRAX;tiocolchicosideo;RELAXANTES MUSCULARES CENTRAIS SIMPLES;EUROFARMA LABORATORIOS S.A.
FUNED ACIDO FOLICO;ACIDO FOLICO;ANTIANEMICOS;FUNDACAO EZEQUIEL DIAS - FUNED
LISOMUC;ACEBROFILINA;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO;LABORATORIO FARMACEUTICO ELOFAR LTDA
TINTURA DE IODO 2% CONCARE;;;FARMAX S.A.
IODOPOLIVIDONA 10% - SOLUCAO HIDROALCOOLICA;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CLORIDRATO DE LERCANIDIPINO;CLORIDRATO DE LERCANIDIPINO;ANTI-HIPERTENSIVOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
NITROP;NITROPRUSSETO DE SODIO;ANTI-HIPERTENSIVOS SIMPLES;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA
PURELL ADVANCED ESPUMA ANTISSePTICA PARA MaOS;;;GOJO AMERICA LATINA LTDA
AZACITIDINA;AZACITIDINA;ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA;UNITED MEDICAL LTDA
BRAFTOVI;ENCORAFENIBE;INIBIDORES DA PROTEINA QUINASE;PFIZER BRASIL LTDA
DORFLEX DIP;dipirona monoidratada;ANALGESICOS NAO NARCOTICOS;OPELLA HEALTHCARE BRAZIL LTDA
NITAZOXANIDA;NITAZOXANIDA;ANTIPARASITARIOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
CLORIDRATO DE FEXOFENADINA;CLORIDRATO DE FEXOFENADINA;ANTI-HISTAMINICOS PARA USO SISTEMICO;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
DIGOXINA;DIGOXINA;GLICOSIDEOS CARDIACOS;LABORATORIO TEUTO BRASILEIRO S/A
DIMETIGASS;;;1FARMA INDUSTRIA FARMACEUTICA LTDA
DIPIRONA;DIPIRONA, dipirona monoidratada;ANALGESICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
RILUZOL;RILUZOL;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
BENZAC AC 10%;;;GALDERMA BRASIL LTDA
CALMLIVE;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
CLORIDRATO DE FLUOXETINA;CLORIDRATO DE FLUOXETINA;ANTIDEPRESSIVOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
CLORIDRATO DE VALACICLOVIR;CLORIDRATO DE VALACICLOVIR;ANTIVIROTICOS;RANBAXY FARMACEUTICA LTDA
VASELINA LIQUIDA AUSTEN;;;TAUENS FARMACEUTICA LTDA
BROMAZEPAM;BROMAZEPAM;ANSIOLITICOS SIMPLES;LABORATORIO TEUTO BRASILEIRO S/A
DEFLAZACORTE;DEFLAZACORTE;GLICOCORTICOIDES SISTEMICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
DIXIL;MINOXIDIL;ANTIALOPECIA;EUROFARMA LABORATORIOS S.A.
CARVEDILOL;CARVEDILOL;ANTI-HIPERTENSIVOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
DICLORIDRATO DE BETAISTINA;DICLORIDRATO DE BETAISTINA;VASODILATADORES;ACHE LABORATORIOS FARMACEUTICOS S.A
LAPTICO;LAMOTRIGINA;ANTICONVULSIVANTES;EUROFARMA LABORATORIOS S.A.
TROMETAMOL CETOROLACO;trometamol cetorolaco;ANTINFLAMATORIOS;ACHE LABORATORIOS FARMACEUTICOS S.A
DRAMIN B6 DL;DIMENIDRINATO, CLORIDRATO DE PIRIDOXINA, GLICOSE, FRUTOSE;ANTIEMETICOS E ANTINAUSEANTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
ETODOLACO;ETODOLACO;ANTINFLAMATORIOS ANTIREUMATICOS;ZYDUS NIKKHO FARMACEUTICA LTDA
KEDAXYL;MINOXIDIL;ANTIALOPECIA;CIFARMA CIENTIFICA FARMACEUTICA LTDA
KYTRIL;CLORIDRATO DE GRANISETRONA;ANTIEMETICOS E ANTINAUSEANTES;MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA
MAVIRET;GLECAPREVIR HIDRATADO, PIBRENTASVIR;ANTIVIROTICOS;ABBVIE FARMACEUTICA LTDA.
SOFTDERM;DIPROPIONATO DE BETAMETASONA, ACIDO SALICILICO;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;LABORATORIO FARMACEUTICO ELOFAR LTDA
TADALAFILA;TADALAFILA;VASODILATADORES;ACCORD FARMACEUTICA LTDA
VITASANTISA C;ACIDO ASCORBICO;MONOVITAMINAS EXCETO VITAMINA K;SANTISA LABORATORIO FARMACEUTICO S/A
FOSFATO DE POTASSIO;FOSFATO DE POTASSIO DIBASICO, FOSFATO DE POTASSIO MONOBASICO;ELETROLITOS SIMPLES;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
PEMETREXEDE DISSODICO;pemetrexede dissodico heptaidratado;ANTINEOPLASICO;SUN FARMACEUTICA DO BRASIL LTDA
NARIX;;;CIMED INDUSTRIA S.A
VASELINA LIQUIDA IFAL;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
FILINAR G;ACEBROFILINA;BRONCODILATADORES;EUROFARMA LABORATORIOS S.A.
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS;LIBBS FARMACEUTICA LTDA
NORFLOXACINO;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
SOLUCAO GLICOFISIOLOGICA BEKER;GLICOSE, CLORETO DE SODIO;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
ACIDO ZOLEDRONICO;acido zoledronico monoidratado;SUPRESSORES DA REABSORCAO OSSEA;ANTIBIOTICOS DO BRASIL LTDA
CICLOLATO;CLORIDRATO DE CICLOPENTOLATO;MIDRIATICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
LEITE DE MAGNESIA;;;LABORATORIO MERCOFARMA LTDA
SIGMA CLAV;AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;EMS SIGMA PHARMA LTDA
ALTAD CAPS DURA;COLECALCIFEROL;ANALOGO SINTETICO DA VITAMINA D;EUROFARMA LABORATORIOS S.A.
CARBONATO DE LITIO;CARBONATO DE LITIO;ANTIDEPRESSIVOS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
IQUEGO-IBUPROFENO;IBUPROFENO;ANTINFLAMATORIOS;INDUSTRIA QUIMICA DO ESTADO DE GOIAS S/A - IQUEGO
NORFLOXACINO;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;BELFAR LTDA
OCTIFEN;FUMARATO DE CETOTIFENO;ANTIALERGICOS TOPICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
PALOCYT;CLORIDRATO DE PALONOSETRONA;ANTIEMETICOS E ANTINAUSEANTES;ACCORD FARMACEUTICA LTDA
CLORIDRATO DE LIDOCAINA;CLORIDRATO DE LIDOCAINA;ANESTESICOS LOCAIS;CAMBER FARMACEUTICA LTDA
MIRAB;mirabegrona;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;EUROFARMA LABORATORIOS S.A.
TRAVOPROSTA;TRAVOPROSTA;ANTIGLAUCOMATOSOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
ISOTRETINOINA;ISOTRETINOINA;PRODUTOS ANTI-ACNE;RANBAXY FARMACEUTICA LTDA
SULFERMAX;;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
CLORIDRATO DE MOXIFLOXACINO + FOSFATO DISSODICO DE DEXAMETASONA;cloridrato de moxifloxacino monoidratado, FOSFATO DISSODICO DE DEXAMETASONA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FLUCISTEIN;ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
OXYCONTIN;CLORIDRATO DE OXICODONA;ANALGESICOS NARCOTICOS;MUNDIPHARMA BRASIL PRODUTOS MEDICOS E FARMACEUTICOS LTDA
NUWIQ;alfasimoctocogue;ANTI-HEMORRAGICOS;OCTAPHARMA BRASIL LTDA
HIDROTHEO;;;THEODORO F SOBRAL & CIA LTDA
PERMANGANATO DE POTASSIO COMPRIMIDOS;;;LABORATORIO TAYUYNA LTDA
REMIFAS;CLORIDRATO DE REMIFENTANILA;ANALGESICOS NARCOTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
CLORIDRATO DE CLINDAMICINA;CLORIDRATO DE CLINDAMICINA monoidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;LABORATORIO TEUTO BRASILEIRO S/A
FARMAIODINE ToPICO;;;FARMAX S.A.
GLIBENCLAMIDA;GLIBENCLAMIDA;ANTIDIABETICOS;EMS S/A
SULFATO DE VINCRISTINA;SULFATO DE VINCRISTINA;ALCALOIDE DA VINCA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
DUOMO HP;FINASTERIDA, MESILATO DE DOXAZOSINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;EUROFARMA LABORATORIOS S.A.
SULFATO DE HIDROXICLOROQUINA;SULFATO DE HIDROXICLOROQUINA;ANTIMALARICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
HIDROVENUS;hidrosmina;ANTIVARICOSOS DE ACAO SISTEMICA;BIOLAB SANUS FARMACEUTICA LTDA
NISTATINA;NISTATINA;ANTIMICOTICO;GEOLAB INDUSTRIA FARMACEUTICA S/A
OLEO DE RICINO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CEFTRIAXONA DISSODICA HEMIEPTAIDRATADA;CEFTRIAXONA DISSODICA HEMIEPTAIDRATADA;CEFALOSPORINAS;ANTIBIOTICOS DO BRASIL LTDA
DIPIRONA SODICA;DIPIRONA;ANALGESICOS NAO NARCOTICOS;GREENPHARMA QUIMICA E FARMACEUTICA LTDA
AMPICILINA;AMPICILINA, AMPICILINA TRI-hIDRATADA;PENICILINA DE AMPLO ESPECTRO;EMS S/A
AZITROMICINA DI-HIDRATADA;AZITROMICINA DI-hIDRATADA;ANTIBIOTICOS SISTEMICOS SIMPLES;LABORATORIO TEUTO BRASILEIRO S/A
COZALESS;losartana potassica;ANTI-HIPERTENSIVOS;PHARLAB INDUSTRIA FARMACEUTICA S.A.
DICLORIDRATO DE LEVOCETIRIZINA;DICLORIDRATO DE LEVOCETIRIZINA;ANTIALERGICOS;GLENMARK FARMACEUTICA LTDA
HOLLI;CLORIDRATO DE OLOPATADINA;MEDICAMENTOS COM ACAO NO APARELHO VISUAL;SUN FARMACEUTICA DO BRASIL LTDA
RIVAROXABANA;RIVAROXABANA;AGENTES ANTITROMBOTICOS;PRATI DONADUZZI & CIA LTDA
AMINOFILINA;AMINOFILINA;BRONCODILATADORES;HIPOLABOR FARMACEUTICA LTDA
GLICLAZIDA;GLICLAZIDA;ANTIDIABETICOS;CIMED INDUSTRIA S.A
OLEO DE RICINO;;;LABORATORIO PERNAMBUCANO LTDA.
OTO - XILODASE;HIALURONIDASE, CLORIDRATO DE LIDOCAINA, SULFATO DE NEOMICINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;APSEN FARMACEUTICA S/A
SULFATO DE NEOMICINA + BACITRACINA ZINCICA;SULFATO DE NEOMICINA, BACITRACINA;ANTINFECCIOSOS TOPICOS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
PENVIR LABIA;PENCICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);EMS SIGMA PHARMA LTDA
RINGER COM LACTATO;CLORETO DE SODIO, CLORETO DE POTASSIO, CLORETO DE CALCIO, LACTATO DE SODIO;ELETROLITOS SIMPLES;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
TRADINOL;BUPIVACAINA, CLORIDRATO DE BUPIVACAINA;ANESTESICOS LOCAIS;HIPOLABOR FARMACEUTICA LTDA
PRED-GRAN;FOSFATO SODICO DE PREDNISOLONA, PREDNISOLONA;GLICOCORTICOIDES SISTEMICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
TILESTAL;PARACETAMOL, CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;MYRALIS INDUSTRIA FARMACEUTICA LTDA
VASELINA LIQUID;;;FARMAX S.A.
INFOC;PREGABALINA;ANTICONVULSIVANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
MUPIROCINA;MUPIROCINA;ANTINFECCIOSOS TOPICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
VIOLETA GENCIONA 2% HEMAFARMA;;;HEMAFARMA COM. E IND. FARM. LTDA
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;LABORATORIO TEUTO BRASILEIRO S/A
DIPIFARMA;dipirona monoidratada;;FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
XIGDUO XR;DAPAGLIFLOZINA PROPANODIOL MONOIDRATADO, CLORIDRATO DE METFORMINA;ANTIDIABETICOS;ASTRAZENECA DO BRASIL LTDA
ANASTROZOL;ANASTROZOL;AGENTES ANTINEOPLASICOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
ASEPXIA GEL;;;LABORATORIO TAYUYNA LTDA
CITRATO DE TAMOXIFENO;CITRATO DE TAMOXIFENO;ANTINEOPLASICO;EUROFARMA LABORATORIOS S.A.
HEMITARTARATO DE ZOLPIDEM;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;PRATI DONADUZZI & CIA LTDA
